TEXT,ID,Human codes,gpt-3.5-turbo,Claude 2,llama13b-v2-chat,llama7b-v2-chat,Relational Uncertainty
"For the most part, my wife and I are on the same page with regards to what we want in our relationship.  We are a true team when it comes to raising our kids, maintaining our house and trying to reach our financial goals, and when we're lacking in those areas, we each want the other to be honest (while tactful) in pointing out the other's faults in a constructive way.  We enjoy spending time together with various activities or just relaxing and talking, while leaving each other just enough time with solo activities that help fulfill us.  We both have the ultimate goal of simply retiring comfortably and spending much of our days together.  We have very simple needs in that regard and are very similar.  Where we might differ is in the relative priorities of our goals.  Intimacy frequently takes a back seat to earning money at this point, as we're trying to get out of debt and that's priority number one for me, and basically as long as we have sex once or twice a week that's enough.  My wife isn't as happy with that and it becomes a bone of contention sometimes, although it's not something we actively ""fight"" over, it's just that we struggle to balance our priorities.  She understands that not covering our bills for the month stresses me out the most and will not be good for our sex life anyway.",93,3.5,5,4,4,5,5.56
There are many things that I am certain about in my relationship.  I am certain that at this time for sure we both want and expect this relationship to last forever.  We actually had plans to get married a few months ago but were not able to due to financial reason so I am sure we both want to be together forever.  On the other hand there are times that we have gotten into rather bad arguments when we have almost ended the relationship so I can not say that there is no chance that we will break up and that is one uncertainty that worries me the most. I know that we have quite a hard time when it comes to talking about things in our relationship that we do not agree with.  We both tend to just let it build up and build up until one of us explodes on the other.  I am certain though that we can eventually managed to work it out no matter how long it works.  I know that this is something that we need to work on but we are both the type of people who would rather not talk about issues like this because when it is good it is good so why talk about the bad times,57,3,3,4,4,5,5.44
"It's a love marriage so I am very well aware of her thoughts and feelings regarding marriage and future plans. So it is certain that I could make her happy always. She likes to go for outing very often and I take her to different places. Only because I know well about her, I could make her certainly happy. She is a best mother that I like the most, she will segregate what is necessary and what is unnecessary for the children and do that. As she is child lover it is certain that she will show the children with perfect carrier path. I have already told her before marriage that my parents is very important for me and I do not have any wish to come out of my parents after marriage and she agreed and even still we are living with our parents, that makes to me to feel very special. I am thinking what is the uncertain about our relationship is she doesn't like to cook. But I am a food lover, I wish her to prepare different dishes and have some interest on cooking however as she doesn't like to stand in kitchen with stuffy environment I don't want to force her to make different variety of dishes for me. Even though I understand her very well sometimes what is in my mind will come out and even I felt sorry for that.",90,5.5,6,3,4,6,5.31
"Here's the thing about  my relationships with my partner: MYSELF: DINESH ADITHYAA PARTNER:SARANYA  Sometimes we're candlelit date nights, and walks through grassy meadows, and feeding each other cake at our wedding.  But sometimes we're doing the dishes, and comforting a screaming baby, and fighting over whose turn it is to do the dishes or comfort the screaming baby.  Which is to say, while sometimes my love and passion for each other is obvious, sometimes it's really, really not.  Psychologists have spent years studying the traits that are fundamental to successful long-term relationships and come up with a few key ideas. We rounded up some of their most surprising insights below.   If I notice that our relationship doesn't meet all these criteria, that does not necessarily mean I should end things with my partner. Consider this list a general set of guidelines that can help you start evaluating whether your current relationship is bringing you satisfaction and happiness. There’s nothing more nerve-racking and stressful than having uncertainty in our relationship. When i uncertain of my partner, it can feel like a roller coaster of emotions and doubts, but it doesn’t have to last.  Like most of the blocks we face in our life and relationships, uncertainty comes from fear — the fear of loss and heartbreak, the fear of losing our independence and, most common of all, the fear of the unknown.  We often fuel that uncertainty by trying to protect ourselves from that fear by pulling away, looking for reasons to justify it and maybe even cutting our losses all together and breaking up with someone before they hurt us.",121,3.5,3,3,4,5,5.06
"I am certain about the relationship status, because we both agreed we're in the dating phase but it's still not serious enough to, for example, introduce him to my parents. I'm also certain we both want this to work, so we're putting lots of effort on it. I'm also sure that communication isn't hard in this relationship, because we've discussed plenty of difficult / serious topics and talked about that in a mature manner, respectfully and in a calmed way. I'm also certain this might develop into a serious and healthy relationship because so far, everything has been healthy, respectful and good, so that makes me feel good about myself and the relationship I'm into. I'm also certain we're n the same page regarding marriage and kids, we both want it at some point, but not in the short term, so that's a good thing (And I'm not sure that will happen in this relationship, but at least we're on the same page.  I am uncertain about how long this will last, but I think that happens with every relationship so it's not a big deal to me. I'm also uncertain about his long term plans, I don't know if he plans to stay in this city for so long, and how that might interfere with the relationship at that point. Sometimes I'm afraid to ask about that.",79,2.5,4,4,4,6,5.13
"I am certain that our relation is working well as far as we know , there are arguments from time to time but what relationship does not have ?  All in all we are very happy together and we try to do the best to make each other happy , my wife is everything i ever wanted and i am happy the way we evolve through time. What i am uncertain of is how long will this happiness last , because  there are many factors to think about , diseases , deaths , and many other types of unhappy situations , but hopefully me and her will keep being happy for a long time. But as i said relationships have good times and bad times and there are arguments which are hard to avoid , for example work related , or discussions about having kids or not yet , on one side we need to save money first and have our own house  paid , then to build a family , no relation is perfect that is for sure but we sure do try to make it as easy and pleasant for each other, for example even if there are mild annoyances i try to keep my calm and not explode my anger on her. But in the end only time will tell i believe.",40,3.5,3,4,5,5,4.06
"I am mostly certain about the important aspects of my marriage. We have the same (for the most part) viewpoints on our religion, morals, political stances, and what is acceptable for how married people should behave. We might disagree on some minor things and that's okay, too. In fact, it makes for some very interesting debates when we're just sitting around the house! That isn't to say everything is perfect. He lost his right leg from the knee down three years ago. It has made for some tough times. I have to be much more aware when planning things like shopping-which can get very frustrating at times. There are times when its just simpler to stay home and that gets annoying for him. I wish the world would be more aware of physical disabilities. There are times we both get somewhat snappy with each other over that in particular. It gets old checking before we do something as simple as going out to dinner to be sure the place is wheelchair friendly.  He gets sad when dealing with it at times, but, thankfully he bounces back pretty quick. Other than that, I wouldn't change anything about our life together. We agree on the important things and the little things we always work out.",49,5.5,5,5,5,5,5.69
"Things that I am certain about is the love that we have for one another. I certain of that because it is displayed every day. There is no way that two people would have and continue to go through on a daily basis if they did not love one another. I am also certain about our goals. We both love our children. There is no doubt that they are the loves of our lives in addition to loving one another. Our children do everything with us. We make sure that life is good for them and engaging with high quality stimuli for both their minds and bodies. If I move on to things I am uncertain of, the first thing that would come up is the length of this relationship. It is not because either of us want to go and be with anyone else or just not be together, it is because there is a significant age difference between my husband and me. He is much older, and we get concerned with the fact that him passing long before me is a great deal of uncertain thoughts. There is not anything other than that that I am uncertain about in regards to this relationship. I mean, things like where we may be living in a few years (what part of the world), or what we may be doing for money may change, but that does not cause any type of conversation when we speak if things that we are uncertain of.",109,4,3,3,5,6,2.63
"My partner and I have a very good relationship. We have what I would describe as a mutual give and take relationship. We know where each other stands on all issues. That is not to say that we do not have our differences, but we respect each others different opinions on certain matters. I am certain that I can count on my partner in any manner and she can count on me. We are there to support each other through both the good and bad times. We discuss how money will be spent for the household, while still maintaining our own separate accounts. We have a house budget and agree on any major purchase and equally split the costs. I do not have many uncertainties in this relationship. I know that whatever comes along, my partner will be there and act in a fashion that is in keeping with her character. The only uncertainty would be what she would do if I would pass before her. I would expect that she would be able to adequately deal with any circumstances that arise as she is very capable. I am happy with this relationship as is my partner. We both benefit mutually and have a deep caring and love for each other.",36,6,6,4,6,6,6
"We have been together nearly five years with relatively minimal trouble or conflict, so the majority of the status of my relationship errs heavily on the side of certainty. I am extraordinarily certain about our commitment to each other, the way we feel about one another [both good and bad], as well as the fact that we love each other deeply. I am also certain that we both have the same goals for our relationship over the long term, and that we both want to be together for the long haul. I also have no doubt about our sex life: It's great, and we both have reasonably similar appetites in that realm. We are also both certain about the fact that we trust each other implicitly, and that we both make an effort to withhold judgement toward one another even under trying circumstances. Overall, I think we are both pretty certain about the overwhelming majority of, at least most of the, crucial dynamics involved in our relationship. That noted, I think the majority of uncertainty probably stems from the differences we have. Chief among these would be where we ultimately want to live -- he emphatically wants to relocate, whereas I really do not as I like being near my family. I honestly have no idea how that will play out in the longer term. Another area of uncertainty, for me at least -- albeit slightly mundane -- is how much I can tolerate being the only one [in general, at least] who does the majority of the work around the house all the time with little to no help. It's infuriating at times, particularly considering that I don't have any more or less free time than he does to begin with. There is also some uncertainty, again, for me, with how I deal with my partner's choice to spend such an absolutely inordinate amount of time with his close group of friends. It's been the source of conflict between us more than once -- not least because I just simply don't think they are terribly great people -- and I'm never terribly sure when to say something for my own emotional heal",150,4,5,6,5,6,6
"I have been with my Husband for 23 years, I have zero doubt about our relationship. We have amazing communication skills and we take time out for each other every day. Our relationship is easy compared to most, we are best friends and we WANT to spend a lot of time together. We text each other all day just to ask how we are doing, no topic is off limits. I can talk to him about anything. Our sex life is still very active, we are passionate and attracted to each other. We still hold hands while walking in the mall or what ever. We have two children together and a child from a previous marriage. We have a very relaxed attitude. I never worry that he is cheating on me, we are home together every night. We do everything together, shopping, walking the dogs, cooking dinner etc. I cannot imagine my life with out him, he is the 1st person I go to when I have good or bad news, or just want to talk to someone. He supports me and I support him in his dreams and aspirations. Everyone says we are perfect together because they can see even after all these years how much we love and respect each other",47,6,6,5,6,6,5.56
"We are very certain about our lives and our relationship status.  We met back when we were junior's in high school, which was almost 20 years ago now.  We dated pretty solidly for 2 years, then broke up for a little while before getting back together.  We got married when we were 24, and now have 3 awesome daughter's.   We are certain in our relationship.  Our relationship is based on our God, and his strength between us keeps us strong in each other.  It's not like we don't have the typical problems or arguments, sometimes over the stupidest of things, but we always know that we will love one another, love our family, and nothing will stop us from being together forever, because that is the vow that we made to each other, and to God, over 10 years ago now.   One thing that usually is a contention though is how and where we spend our free time.  Usually we spent it together, but if we split off too much, my wife seems to not like that very much so I tend not to do so as often as I may like.   In the end though, we'll always be together.  I don't see anything that would break that bond between us, I am certain of that.  We have been through a lot together already, and although tough, it has made us stronger together in the end.",89,6,5,5,6,6,5.75
"My husband and I have a lot of things that we are certain about in our relationship. Over the years we have figured out how to approach each other about issues we may be having and how to treat the other person. We both have the same set of values and both have the same outlook on life. We share a common sense of humor and we can cheer each other up no matter how upset the other one is. We both enjoy a lot of the same activities and hobbies and spend time together doing them. In terms of what we are uncertain about is what external pressures will impact our relationship. I have been looking for a new job and that has added stress to the relationship since we are not certain where I am going to end up. We have had issues in the past and I have some concern they may arise again but can’t be truly sure if they will or won’t. For the most part though, we have been together long enough to work through most of our issues and work pretty much from the same playbook. I can predict how my husband will react to most situations and he can do the same for me. That is what 23 years together does for a relationship.",69,3.5,5,4,5,6,5.31
"I'm certain that we both like spending time together, that we both want to get more healthy and improve things like our spaces.  And that together we like making these decisions and steps.  I'm also certain we're both content, and don't get sick of each other.  We like spending a full day together during the weekend, and want to see each other during the week as well.  We both like saving money, and so doing things more cheaply is something we're interested in.  I'm secure that he finds me attractive, and has no issues with my weight or appearance, or even how I dress.  We accept each other for who we are.  On the other hand, it's a little uncertain what we both want from the relationship.  We're content, and plan to be together for the foreseeable future, but it's unclear who might want to get married, and whether kids might be a discussion.  I'm not even sure if I want kids.  He's older by 13 years and I have a rocky past that means I'm not as far along in my life or career as I want to be, my life is in flux.  So it's uncertain whether he's going to get frustrated with this, or if I'll be able to advance fast enough to make him feel like it's a real partnership, and whether moving in together and committing fully is something that we'd be able to make work.  It's also a little uncertain if we're together because it's easy, or because we're the best fit.",111,2,4,4,4,6,5.19
"My relationship is currently rocky. My boyfriend doesn't seem to understand my needs and instead, only takes care of his own needs. I don't like that. It makes me feel bad. I love him so much, but I am not certain about it. I feel like it's not going to work out in the long run. He's mean to me at times, and screams at me for no reason. I always feel like I'm not good enough. However, at times we have wonderful days.  For example, we take a lot of trips together, and I've experienced a lot of things with him. We have traveled the world, with so many happy and fun memories. We make each other feel good during those moments, and at those points, I feel like things are certain between us. But once things go back to the way they were, I feel sad again. I start to feel like those happy times don't outweigh the bad times.  My goals for the future would be to go to therapy together and work things out with one another. I would like for us to live happily ever after, but there is going to be a lot that needs to happen before we get there. I would like for us to work together for a common goal on how to make each other happy. It should not just be all about me making him happy or taking care of his needs, but he also needs to learn how to take care of mine as well. It's not an easy thing, and it hurts me a lot.",119,1.5,3,3,3,5,5
"I'm in a married relationship. I'm certain that our current and foremost issue is money. I'm a University dropout who earns little money by freelancing. My wife was working in a Multi national company but currently she is a full time mom taking care of our 1 year old son. I struggle a lot to make money for our everyday expenses and so we are living with my parents (Both my mom and dad are employed). We depend on my parents financially and my wife is very uncomfortable about it. I know this but couldn't help.  To talk about uncertain issues. We were dating since high school and broke up for 2 years primarily because of fights arising out of my employment issues. Then we re-united and married. Still now I have doubt that my wife might get a divorce from me because of my financial status. Together we don't have any savings, assets or jewellery. To be short we are penniless and we are very scared of school fees in our country which is a huge amount (almost my 3 months salary) and uncertain about how we are gonna send our son for schooling. Everyday we have silly fights over financial issues and I'm afraid anytime it would grow monstrous breaking our marriage bond.",55,1.5,3,4,3,6,4.19
"I'm certain about how much my husband loves me and is committed to me in our relationship. I can tell my husband loves me because he always did and does a lot for us. He saved me when we first got together because I was not having good luck in dating and I was terribly sad all the time. He changed that by being there for me, always following through, and doing manly things that take commitment to get done. For example, he fixed the plumbing in our house, which required him to get into cramped, uncomfortable positions. He also does all the dirty work so that I don't have to be uncomfortable. He never goes out with friends or anything. He is always with me, and I love that. I am uncertain about how much sex had to do with why my husband married me. I am also uncertain in how he compares me to other relationships from his past. Our sex life is important to us but we were intimate early on, and I think this is why he got hooked onto me. He never discusses past relationships so I can't gauge how he feels about them. That is probably a good thing, though.",22,3.5,4,4,5,6,5.81
"In my relationship I am certain of the following items. I am certain that my partner feels them same about me as I feel about her. I am also certain that we have the same religious beliefs that make a foundation for our relationship with each other and our families. Another certainty I have is how we feel about our future together. I have two children from a previous marriage and she has none. She is great with the kids and both of us agree that we would love to have more kids together. We are both certain of our career goals and how they match up with our family structure. Both of us strongly believe that our jobs and careers are important, but making time for our family is of the utmost importance to us.  There are a couple minor things that I am not certain of as this moment. My fiancé and I both love to fly fish and right now it is a big part of our lives. Escaping to the mountains and spending the weekend fishing in trout streams is a favorite to both of us. I'm not sure that when we add to our family and have new babies if that will continue with both of us or if that time and hobby will be a thing of the past that will be replaced by additional time with small children. We also have a fifteen year age gap between us where I am the older of us. I am not certain later on when I age how she will continue to feel about me romantically. With that age gap down the road things could chance between us and how we view each other.",129,3.5,5,4,5,6,5.81
"I'am certain about our feelings toward each other during these times, we are pretty confident in ourselves we just want the same goals and want the same things in life. For the most part we are on par with what we want with our goals. We both try to save our money for the future and try to do things to better our relationship. I'm just not sure about my partner because she likes to live in the now and the not the future. She likes to spend her money on expensive things in life and not really worry about the future sometimes and gets carried away with that kind of life which makes me feel uncertain. Sometimes it's hard to get her to look at the bigger picture in life and really notice what is important in life and material things don't and shouldn't matter much. She is starting to get it now so its becoming a bit better for our relationship and the mental health of our relationship. We want to buy a house and know that we have to save and really cant waste a dollar on anything that's not worth it. Slowly but surely we will get where we need to be.",20,2.5,4,4,4,5,5.38
"In my relationship there are many things that I am certain about along with a few that I am not as certain about. As far as the big picture goes and where our relationship is going, I believe that we are both on the same page. We are interested in moving forward and taking the next steps when appropriate. Our feelings are also something that I am certain about. I know how we both feel about each other. The things that we want in life are similar as well. After being together for this amount of time, I know that we are both growing together in similar ways. We enjoy each other's company and like to do things together. Things that I'm not as certain about tend to be the smaller things in the relationship like things that she likes and dislikes when I give her a gift. She is always so thankful that sometimes I don't know if she is being totally honest or just telling me what she thinks that I want to hear. Another thing I am uncertain about is her timetable. I know that our relationship is moving forward in a good way, but sometimes I think it's not moving fast enough for her.",33,4,4.5,5,4,5,4.94
"I am very certain about how my partner and I feel about each other. We really sincerely care about each other and do what we can to make each other happy. We give up our goals for each other and we do whatever we can to make sure that we each have a good day. We each want to help each other achieve our goals and we do whatever we can do to make that happen. At the same time, we have uncertainties in our relationship just like everyone else. Right now the biggest issue is money and where our relationship is going to go. We are married and we have no plans to divorce and our relationship is strong but he wants children and I don't. I don't know if this is something that I will change my mind on but he said that he'll wait and work through it together. So it's very uncertain for me to try to figure out whether or not we will ever have children, especially with our money issues. One thing that is for certain, though, is that we have plans to figure it out together and so I am not too concerned. I really love my partner and I am certain that we still stay together in the future. We are both extremely loyal people and we have both invested a lot in this relationship that we would lose if this marriage came to an end, so I don't think that we will ever divorce, but having kids is a big uncertainty. Overall, I am certain that our relationship is stable and we will be able to work through any problem we have because our relationship really is close to my ideal and I love him very much.",132,3.5,5,5,5,5,5.56
We've been together for 18 months. I'm certain of many things. We are best friends. We dont do battle. Its not that sort of relationship. We have each others backs. Im  certain she loves me and I am certain I love her. Our relationship keeps moving forward. I am uncertain if we are going to be married someday. Only because neither of us seem to want it very much. We're content.  We are committed to our shared goals. One goal is wealth building and not being stupid with our money as we both were in the past. Im certain we dont want any kids(she has two). I feel like we are very open with each other. I know her mind. Her worries and what makes her laugh.  Im certain of our relationships with each others families and friends. Her friends are now my friends and vice versa. Im certain things are going very well now. Probably because we take care of our money situation and have no small kids-both of which add a lot of stress to a relationship.  Im certain I am in a loving relationship where we take care of one another emotionally and sexually and we communicate well also.,15,5.5,4,4,5,6,5.5
"We have been together fun some time now.  We have a pretty good understanding of each other. We are at the point that we know each others tendencies and moods. I know there are times when we will be talkative and there are times when we don't say much. I am certain about how to approach my partner and what tone to use. I know that being aggressive will cause her to be offended or pull back from the conversation. I am certain about what she likes and what she doesn't like as far as presents and the types of movies she likes. And they usually different from the ones I like. There are times when she is in certain moods and I don't know why. I can tell that the smallest thing frustrates her. I will ask a question and she has a short reply. Or I will have to ask twice to get a response. I will usually just leave her alone and give her space. Sometimes this doesn't work and we get into a disagreement about why I'm not talking to her. This rarely happens but when it does, I feel like I'm in a no win situation. I'm certain that our relationship will endure any setback. I know we don't have a perfect relationship but I think it's natural for people to have differences in opinion. I'm not certain about her different moods but I've become pretty good at dealing with them over time. The stress and demands of work usually plays a role in mood.  There are many times we have disagreements because we know each other well. And we accept each other for who we are.  But there are times when we have to work harder and being respectful and understanding of one another.",134,4,5,5,4,5,6
"We have been together a long time almost 22 years. There are a few things that I am certain about. First it's our commitment to each other. We can count on each other to be there when we need reassurance or affirmation about how thing our going in life. I am certain We won't cheat on each other. This has become stronger the longer we have been together. Now going on 20 years We really have are not looking to stray. This does take some work I always tell my partner how great they look and take an interest in their work and interests. But I am certain we will stay dedicated to each other. Sure you see other attractive people and some show interest in you. But to throw away what we have at this point is not worth it. There are a few uncertain things though. What will happen as we get older and our health fails. Will we be able to cope with the stress of aging. Will we be able to take care of each other. What will happen as we can not longer work, will we have enough money to retire and live as we do now. But overall in our relationship I am much more certain about things than uncertain. I think this is due to being together for a long time and understanding each other.",85,4,5,5,5,6,5.56
"I am certain about most things in our relationship as it currently stands. Overall, our relationship is very strong and stable. I know that we are both happy and satisfied with our current relationship, and with each other. We are sure of how strong our relationship is, and how to act toward each other. We know the boundaries of our relationship, and we know each others' strengths and weaknesses. We know that we make a good team and intend to remain together for the foreseeable future. I know that we both feel content and want to remain in a relationship for the long term. I know that I feel strongly toward my partner and love her, and I know that she feels the same way toward me. I have no uncertainty about our commitment and love toward each other. I am slightly unsure about a few things when it comes to the long term future of our relationship. We have not really discussed getting married or having children. I am not particularly fond of either, especially having children, and I am a bit unsure if my partner wants to have children some day. I assume it is likely that we will get married at some point, but I am in no rush to do so, and we just haven't really discussed it, so I am unsure about if and when that will happen. My partner has said she also does not necessarily want children, but I think it is possible she might change her mind, and I wonder if I will ever change my mind about it too. I am also a bit unsure of our long term goals regarding where we will live and how our two careers will fit together, especially if one requires moving. This could create some conflict and hard decisions about what to do. Overall, my uncertainties are mostly about some parts of the relationship like marriage, children, and location, but the underlying fundamental nature of our relationship is strong and I feel very certain about it.",143,3.5,4,3,5,6,5.56
"My relationship with my partner is currently a well being one and we take all necessary important things to do with cooperative each other and we certain to do the most relevant whatever each one needs and we can get a wonder journey to going most peaceful and good feature places and we certain to do the believe one of most love to commit to each one's life and we take certain important works such a romantic,love,made for each other,kisses,doing make different,enjoy the days normal to better,enjoy the parties each other joining. helped together with their necessary to give a partial stories and partial impartments whichever cause normal life. committed each real life stories and make a stressless life. Doing different for each other when we are make worthless happening. 2.Uncertain in relationship gives a unnecessary things to do and give a happyless life.Such as we do a little unnecessary things such as say sorry at all time when we doing a unimportant work and some time say a not happily loved together such traffic and stressful times. when we got streesed in office we unable to attend the calls such we do each one.Such gives a some little sadness thought to each one's uncertainity gives all bad habits,such we always doing small type of habits when we ready to go some important places me and my partner always not estimated the time,such time make as a little but some uncertainity thought where we not correctly achieve the places.",115,4,4,5,4,6,4.44
"Trust is the cornerstone of any healthy partnership. With it, your relationship can thrive and withstand even the biggest challenges. Without it, you'll be ill-equipped to take on the really tough stuff.  Me and my partner have similar goals that would take you to similar places, that is a big factor in determining certainty in our relationship. we regularly appreciate our good things. we have similiar goals in life that makes us to unite together forever we are always in intimate relationship. when it comes to mistakes i may apologize to her to make her happy. we are like close friends in difficult situations. that makes me certain about our relationship my partner always loves me when she got angry these are the positives of my relationships with her. we are always have a healthy competition. we sometimes feels annoyed that makes our relationship uncertain. sometimes we have jealousy over others about our earnings and social status that makes me feel that our relationship uncertain. sometimes we have intimacy issues that make us to feel that our relationship is susceptible to break-up. sometimes our past seems to be a problem in our current situation. however overall i thought that she is very beautiful and caretaking. and i hope that our relationship will last forever. i pray god daily",64,3.5,4,3,4,5,4.81
"There are some things that I am unsure about in my relationship one of those things are if he is with me to be with me or if he knows that I need him right now and that’s why he is with me. Sometimes I know that he loves me based on how he acts but sometimes he does nothing and im not sure. He knows that right now I do not make enough money on my own to support our two children, he also knows that I am in school full time and without him helping to pay for the school than I would not be able to go. But I always think if he wanted to leave me I don’t think he would until I finish school so I wouldn’t be struggling with our kids. The one thing that i am certain in our relationship is that he enjoys having sex with me. He always wants to have sex and always talks about how good it is and what I did great in the interaction. So, I know for sure that he is satisfied with our sex life and I have no doubt it because of his actions.",1,2.5,3,4,3,4,4.38
"My relationship with my girlfriend is pretty mature I would say, she understands my needs and I always support in her no matter what the circumstances are. There is certainly a mutual love and respect between both of us. We value each other's presence and say to each how much this relationship means to us. We are certainly satisfied with our relationship at this moment, we understand that we have different career goals that we must pursue and one shouldn't come across each other's career in any way. We understand the need of space every now and then, that's if one of us is angry or feels like its better to be alone for few days we are mature enough to allow this in our relationship. What's uncertain in our relationship is our future, whether we will marry or not is something we are still trying to figure out. The problem lies in our families and that makes us really anxious and upset at times and sometimes becomes the reason for a fight between us. My point of view is that we should continue our relationship and pursue our life goals before settling in for a marriage but she wants it to happen now as she's being really anxious regarding my take on marriage. I, on the other hand, don't want to rush anything and would like to take my time to secure my future first before deciding something as monumental as marriage.",98,4,3,2,4,4,4.5
I AM IN RELATIONSHIP ALLOWS SPACE FOR INDIVIDUALS TO AUTHENTICALLY EMOTIONAL  FEELINGS  AVAILABLE A DEEPER SENSE OF INTIMACY  IN CREATED  AFFECTS THE WAY THE PEOPLE . I CANT BELIEVE THIS I WORKED REALLY HARD ON THIS RELATIONSHIP I JUST KNOWN SHE WONT BE HAPPY SHE SUCH A LOOKING GO.  I SHOULD BE A  CALM IN NATURE AND I CAN CONTINUE IN THE THIS RELATIONSHIP. SHE WANTS TO FEEL SAFE WITH ME .THIS IS NOT ONLY PHYSICAL REFERENCE BUT ALSO MENTALLY I AM CONNECTED  TO I WANTS TO PART OF HER LIFE AND WITH GOOD ENVIRONMENTAL. NOW A DAYS WOMAN WANT TO MORE SECURITY THAT LEVEL I CAN DO MORE TO BE TREATED WITH RESPECT.I AM GROWING IN THIS WORLD WITH COMPETITIVE TIME I WANT TO ATTENTIVE ON TO HER NEEDS  I CAN TAKE MY RESPONSIBILITY  THAT MAKE TO HER FEEL SPECIAL  WITH RESPECT TO SINCERE  .  I AM IN RELATIONSHIP IN LOOKING TO  KNOW DEEPLY IN HER HEART  .SOME ONE SAID THAT TO HER YOU CAN LIVE WITH HE IN A HAPPILY . I CAN MAKE TO HER WITH STRONG BOND . I CAN SHARED THE COMMITMENTS WITH EQUAL  PRIORITY  I CAN PROMISE TO HER WITH DIGNITY.                                                         UNCERTAINTY BECOMES UNHEALTHY RELATIONSHIP  GOES ON FOR LONG GAP .UNLESS  I MANAGE TO EXPECTATIONS AND DO SOMETIMES ABOUT MY RELATIONSHIP GET TO A DOWNWARDS   AND IN FINALLY BELOVED IN THE DESERVING OF A KIND OF LOVE IN I WANT O BE A  JUST ACCEPT THE THINGS GIVEN TO HER.,96,3,2,5,3,6,4.31
I am certain that my husband loves me and we are very open about what is going on in our lives. I have been married before this and this is the best relationship I have ever had. My husband and I lean on each other when needed and make sure that we are satisfied with how our life is going. I never have any doubts about if my husband is wanting to someone else or thinking about being with someone else. We both support each other in our life choices. The only thing I can say I am uncertain about is if we are going to live long lives. I know we will be together to our dying day and be holding hands when we take our last breathe whether it be me or him that goes first. I know that my husband is always going to be there when I need him no matter what. When I first my husband I knew he was the one that would be there for the rest of my life. We talk about everything including what annoys us and what we want to change to make our relationship better. We work everyday to ensure that we are still happy and satisfied with our lives and what is happening.,54,6,6,5,6,6,6
"My husband and I celebrated our 30th wedding anniversary in September, but we were dating for one year before that so we've been together 31 years.  We have gone through so much together, good and bad, and we have gone through many trials together.  One thing I am certain about in this relationship is that we will be together for the rest of our lives.  If we have been able to weather some of the trials we had when we were younger, including a bout of infidelity, than I can't imagine anything else that would keep us apart.  One thing I am uncertain about in our relationship is our capacity to weather illness events.  I have seen my aunt and uncle's marriage just fall apart because he suffered a stroke and his personality changed to the point that she could no longer stay with him.  It is a sad reality that, sometimes, mental illness can be that deal breaker where one person in the relationship decides it just isn't worth abandoning their happiness to stay in the relationship.  So, my uncertainty is with something like this happening where one of our personality shifts to a point that the other can no longer deal with being near that person.  I truly hope that never happens!  But, I have seen it happen before.",66,3.5,5,5,5,6,6
"My husband and I have been together for nearly 17 years and so there are many things that I am certain about in this relationship.  I feel like I am an ""expert"" when it comes to our relationship.  I know that he will always be here for me when I need him, regardless of whether we are getting along at that moment or not.  If I need him he is there, no questions.  He is very reliable in that sense and he also knows that the same goes in a reversed situation.  I am always there for him.  We are always able to count on each other in tough times for support.  I know that our relationship is very stable as far as staying together.  We are both aware that it would take an extreme event for us to part ways.  We have both made it clear to each other that we are not going anywhere.  I am certain that there will always be certain things we argue about and that we are able to effectively deal with those minor disagreements and move on from them without them negatively affecting our relationship.  The things about my relationship that are uncertain are mainly how we will be with each other once the kids are older and move out.  Right now the majority of our time in a relationship together has been with children in the picture and things will be quite different when they are all out of the house.  I wonder how we will fill the time together.  We will be alone together a lot more and that is something we aren't used to and sometimes I worry that we will run out of things to do or to talk about.",131,3.5,5,4,5,5,6
"After nine years of dating and a couple of years of marriage, most aspects of our relationship have settled towards certain.  Overall, we know that we will sustain our relationship for as long as we are both alive.  We also know that we will never make moves towards another lover.  Overt time, we have also realized that we share a strikingly similar sense of humor.  This has been the foundation for our approach towards life.  We enjoy similar activities due to our shared humor.  We use humor to deflect negative developments from our back.  And we pass these philosophies on to our children, and pray that they will share the certain qualities that my wife and I share.   On the other side of the token, there are always uncertainties in relationships including our relationship.  No human could know everything about another lover, so there is no stress in realizing that uncertainties exist.  Continuing along the humor path, there are occasions where I'm not sure whether my wife will find the ensuing joke or prank as funny as I do.  Diving into a more serious topic, I hope that I have a solid understanding of my wife's religious beliefs, but alas I am not inside her head.  So in summation, there are bits of knowledge large and small, that we may not be certain about and that's ok.",80,5.5,6,4,5,5,5.75
"Some times I worry about not being enough. I am a registered sonographer but I am also a mother of 4 being pulled in work life and home life and sometimes not everything is done. Some times I don't want to be be touched, sometimes after a rough day that's all I want. I know this is a romantic relationship but I worry that I am not enough or I don't do enough.  I am certain he loves me  and I am certain he loves our kids.  I am certain that he will always be there for them but I m uncertain about his health and if it will be enough to keep him here long enough to see them graduate. i  am certain that he enjoys our sex life but I am uncertain if he wants it as much as I do. I am certain we are done having kids and is I am certain he is  done as well.  I am uncertain that this relationship was made because we got pregnant or if we truly loved each other at the time but as time grew we fell in love with each other  and have had 2 more kids ( our first pregnancy was twins).",18,4,3,4,4,6,5.63
